N.I.F.;Nombre 1;Nombre 2;VMA;;;;;
8001543473;HOSPITAL LA CANDELARIA;;9420;;;;;
8001548791;FUNDACION INTEGRAL PARA LA SALUD Y LA ED;LA EDUCACION COMUNITARIA DEL MAGISTERIO;9422;;;;;
8001564692;IMAGENES DIAGNOSTICAS DEL LLANO;;9425;;;;;
8001580230;JG Y COMPANiA LIMITADA;;9427;;;;;
8001604000;HOSPITAL SANTA MARGARITA ESE;;9431;;;;;
8001608271;CLINICA RETORNAR;;9432;;;;;
8001616871;UNIDAD DE GASTROENTEROLOGIA Y ENDOSCOPIA;;9434;;;;;
8001620354;SERVICIOS MEDICOS INTEGRALES DE SALUD LT;;9435;;;;;
8001635191;HOSPITAL SAN JUAN DE DIOS;;9438;;;;;
8001651632;ODONTOCUCUTA S.A;;9444;;;;;
8001669055;NUCLEODIAGNOSTICO LTDA;;9449;;;;;
8001681564;CF CENTRO DE FRACTURAS S A;;9453;;;;;
8001687223;LA OPTICA LIMITADA SEDE IMBANACO;;9454;;;;;
8001694334;SOCIEDAD DE SERVICIOS OFTALMOLOGICOS S A;S S A;9456;;;;;
8001706626;I P S CLINICA DIVINO NINO;;9459;;;;;
8001709154;CENTRO DE NEUROREABILITACION SURGIR;;9461;;;;;
8001741236;ESE HOSPITAL DE SANTO TOMAS;;9468;;;;;
8001743755;HOSPITAL SAN VICENTE DE PAUL DE FOM;;9470;;;;;
8001748511;SOCIEDAD MEDICO QUIRURGICA NUESTRA;;9472;;;;;
8001749951;EMPRESA SOCIAL DEL ESTADO BELLO SALUD;UD;9475;;;;;
8001758395;ASOCIACION ACONIÑO;;9476;;;;;
8001768991;ESE HOSPITAL GILBERTO MEJIA MEJIA;;9482;;;;;
8001798702;HOSPITAL SAN ANDRES E S E;;9489;;;;;
8001799660;CLINICA REINA CATALINA SAS;;9490;;;;;
8001804061;REGAMA DEL CARIBE LTDA;;9496;;;;;
8001805534;FUNDACION NEUMOLOGICA COLOMBIANA;;9497;;;;;
